,Renewable energy,Vegetation (g),Productivity,Alkalinity (g),Hybrid,Cloud,Albedo,Alkalinity (l),Vegetation (l),Pollution,Hydrology,Ressource management,Protection,Evolution,Relocation Restoration,Seagrass habitats,Coral reefs,Mangroves and saltmarshes,Arctic biota,Fin fisheries,Fish aquaculture,Coastal protection by natural ecosystems,Bivalves fisheries and aquaculture,,,,,
Renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,5,5,4,,,,,
Vegetation (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,3,2,,,,,
Productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,3,2,,,,,
Alkalinity (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,,,,,
Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,5,4,4,,,,,
Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Albedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,3,2,,,,,
Alkalinity (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,,,,,
Vegetation (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,5,4,4,,,,,
Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,1,5,5,5,4,,,,,
Hydrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,2,3,4,3,2,,,,,
Ressource management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,3,2,,,,,
Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,5,4,4,,,,,
Evolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,3,2,,,,,
Relocation Restoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Seagrass habitats,5,4,4,5,5,0,4,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,,,,,
Coral reefs,4,2,2,5,4,0,2,5,4,4,2,2,4,2,0,0,0,0,0,0,0,0,0,,,,,
Mangroves and saltmarshes,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,,,,,
Arctic biota,5,3,3,5,4,0,3,5,4,1,2,3,4,3,0,0,0,0,0,0,0,0,0,,,,,
Fin fisheries,5,3,3,5,4,0,3,5,4,5,3,3,4,3,0,0,0,0,0,0,0,0,0,,,,,
Fish aquaculture,5,4,4,5,5,0,4,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,,,,,
Coastal protection by natural ecosystems,5,3,3,5,4,0,3,5,4,5,3,3,4,3,0,0,0,0,0,0,0,0,0,,,,,
Bivalves fisheries and aquaculture,4,2,2,5,4,0,2,5,4,4,2,2,4,2,0,0,0,0,0,0,0,0,0,,,,,
