,Renewable energy,Vegetation (g),Productivity,Alkalinity (g),Hybrid,Cloud,Albedo,Alkalinity (l),Vegetation (l),Pollution,Hydrology,Ressource management,Protection,Evolution,Relocation Restoration,Seagrass habitats,Coral reefs,Mangroves and saltmarshes,Arctic biota,Fin fisheries,Fish aquaculture,Coastal protection by natural ecosystems,Bivalves fisheries and aquaculture,,,,,
Renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,4,5,,,,,
Vegetation (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Alkalinity (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,4,5,,,,,
Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,5,4,2,5,,,,,
Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Albedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,4,5,,,,,
Alkalinity (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Vegetation (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,4,5,,,,,
Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Hydrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,5,5,3,5,,,,,
Ressource management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,5,4,2,5,,,,,
Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,5,4,2,5,,,,,
Evolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,5,4,1,5,,,,,
Relocation Restoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,4,5,,,,,
Seagrass habitats,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,,,,,
Coral reefs,5,3,3,5,4,3,5,3,5,3,4,4,4,3,5,0,0,0,0,0,0,0,0,,,,,
Mangroves and saltmarshes,4,2,2,4,3,2,4,2,4,2,4,3,3,2,4,0,0,0,0,0,0,0,0,,,,,
Arctic biota,5,4,4,5,4,4,5,4,5,4,5,4,4,4,5,0,0,0,0,0,0,0,0,,,,,
Fin fisheries,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,,,,,
Fish aquaculture,5,4,4,5,4,4,5,4,5,4,5,4,4,4,5,0,0,0,0,0,0,0,0,,,,,
Coastal protection by natural ecosystems,4,1,1,4,2,1,4,1,4,1,3,2,2,1,4,0,0,0,0,0,0,0,0,,,,,
Bivalves fisheries and aquaculture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,,,,,
