name,color
Renewable energy,#DF7C00
Vegetation (g),#DF7C00
Productivity,#DF7C00
Alkalinity (g),#DF7C00
Hybrid,#DF7C00
Cloud,#DF7C00
Albedo,#DF7C00
Alkalinity (l),#BFAE40
Vegetation (l),#BFAE40
Pollution,#BFAE40
Hydrology,#BFAE40
Ressource management,#BFAE40
Protection,#BFAE40
Evolution,#BFAE40
Relocation Restoration,#BFAE40
Seagrass habitats,#8bc48a
Coral reefs,#8bc48a
Mangroves and saltmarshes,#8bc48a
Arctic biota,#8bc48a
Fin fisheries,#8bc48a
Fish aquaculture,#8bc48a
Coastal protection by natural ecosystems,#8bc48a
Bivalves fisheries & aquaculture,#8bc48a
