,Renewable energy,Vegetation (g),Productivity,Alkalinity (g),Hybrid,Cloud,Albedo,Alkalinity (l),Vegetation (l),Pollution,Hydrology,Ressource management,Protection,Evolution,Relocation Restoration,Seagrass habitats,Coral reefs,Mangroves and saltmarshes,Arctic biota,Fin fisheries,Fish aquaculture,Coastal protection by natural ecosystems,Bivalves fisheries and aquaculture,,,,,
Renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,,,,,
Vegetation (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Alkalinity (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,,,,,
Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,4,4,4,,,,,
Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,3,3,3,3,,,,,
Albedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,,,,,
Alkalinity (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Vegetation (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Hydrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,4,4,4,4,,,,,
Ressource management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Evolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,2,2,2,,,,,
Relocation Restoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Seagrass habitats,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,,,,,
Coral reefs,5,1,1,5,4,2,5,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,,,,,
Mangroves and saltmarshes,5,4,4,5,5,4,5,4,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0,,,,,
Arctic biota,5,1,1,5,4,2,5,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,,,,,
Fin fisheries,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,,,,,
Fish aquaculture,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,,,,,
Coastal protection by natural ecosystems,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,,,,,
Bivalves fisheries and aquaculture,5,2,2,5,4,3,5,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,,,,,
