name,color
Renewable energy,#DF7C00
Vegetation (g),#DF7C00
Productivity,#DF7C00
Alkalinity (g),#DF7C00
Hybrid,#DF7C00
Cloud,#DF7C00
Albedo,#DF7C00
Alkalinity (l),#BFAE40
Vegetation (l),#BFAE40
Pollution,#BFAE40
Hydrology,#BFAE40
Ressource management,#BFAE40
Protection,#BFAE40
Evolution,#BFAE40
Relocation Restoration,#BFAE40
Seagrass habitats,#083E77
Coral reefs,#083E77
Mangroves and saltmarshes,#083E77
Arctic biota,#083E77
Fin fisheries,#083E77
Fish aquaculture,#083E77
Coastal protection by natural ecosystems,#083E77
Bivalves fisheries and aquaculture,#083E77
